FIPS,Food Insecurity %
47001,14.8
47003,12.8
47005,17.4
47007,18.2
47009,10.8
47011,13.9
47013,18.4
47015,14.1
47017,14.9
47019,16.5
47021,11.1
47023,11
47025,18.2
47027,18.6
47029,18.8
47031,14.6
47033,12.8
47035,13.8
47037,12.4
47039,15.2
47041,17
47043,12
47045,15.8
47047,10.7
47049,16.2
47051,15.2
47053,13.9
47055,13.6
47057,15.7
47059,16.3
47061,17.9
47063,14.6
47065,12
47067,21.7
47069,14.5
47071,14.6
47073,16
47075,14.6
47077,15.7
47079,16.3
47081,12.6
47083,14.5
47085,13.9
47087,15.8
47089,13.9
47091,17
47093,11.4
47095,21.2
47097,17
47099,15.2
47101,16.3
47103,13.2
47105,11.1
47107,15
47109,15.8
47111,14.6
47113,13.9
47115,15.6
47117,14.7
47119,10.7
47121,14.7
47123,15.8
47125,12.1
47127,10.1
47129,17
47131,16.2
47133,15.3
47135,18.8
47137,15.8
47139,13.3
47141,13.8
47143,16.6
47145,13.4
47147,10.5
47149,10.1
47151,19.6
47153,17.2
47155,15
47157,13.7
47159,13.1
47161,13.3
47163,14.8
47165,10.7
47167,11.7
47169,10.9
47171,16.1
47173,15.5
47175,16.7
47177,17
47179,13.8
47181,14.3
47183,14.9
47185,13.7
47187,6.1
47189,9.7
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
