Center Name,Address,Latitude,Longitude
Lowcountry Food Bank,"2864 Azalea Dr, North Charleston, SC 29405",32.8442175,-79.9722598
Harvest Hope Food Bank,"2220 Shop Rd, Columbia, SC 29201",33.9630751,-80.9897576
