FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Normalized%,,,28.7,2.6
2164,0.15,170,15,25.26609241,15.84766447,0.475095785,,,,
2170,0.111,"11,920",11.1,35.81453305,16.50396763,0.325670498,,,,
2180,0.169,"1,690",16.9,53.11885329,11.47877709,0.54789272,,,,
2185,0.11,"1,030",11,84.92813193,11.33727269,0.32183908,,,,
2188,0.182,"1,400",18.2,77.02803217,11.91075209,0.597701149,,,,
2195,0.111,360,11.1,31.7446715,12.20706363,0.325670498,,,,
2198,0.165,"1,050",16.5,32.25664356,13.95117627,0.53256705,,,,
2220,0.1,860,10,76.54330946,13.90694992,0.283524904,,,,
2230,0.167,220,16.7,47.67544977,16.98690359,0.540229885,,,,
2240,0.12,830,12,28.08989691,11.21575018,0.360153257,,,,
2275,0.111,280,11.1,22.24916415,13.06813341,0.325670498,,,,
2282,0.103,60,10.3,28.33473453,15.27154235,0.295019157,,,,
2290,0.185,980,18.5,43.73118934,4.253064705,0.609195402,,,,
4001,0.226,"16,230",22.6,44.86287491,4.576865998,0.766283525,,,,
4003,0.126,"15,880",12.6,51.85804048,4.885471442,0.383141762,,,,
4005,0.146,"20,730",14.6,73.55008136,4.70102175,0.459770115,,,,
4007,0.159,"8,550",15.9,34.77283673,4.507669013,0.509578544,,,,
4009,0.138,"5,300",13.8,36.53624834,4.301169853,0.429118774,,,,
4011,0.108,"1,020",10.8,56.41707476,5.601919675,0.314176245,,,,
4012,0.175,"3,680",17.5,26.97916246,5.207720506,0.570881226,,,,
4013,0.11,"487,340",11,30.46167123,5.446323369,0.32183908,,,,
4015,0.164,"34,670",16.4,52.64756181,4.487592312,0.528735632,,,,
4017,0.192,"21,160",19.2,60.65717605,5.122318423,0.636015326,,,,
4019,0.126,"130,860",12.6,22.28458585,4.920410823,0.383141762,,,,
4021,0.111,"49,680",11.1,40.34925891,4.922405162,0.325670498,,,,
4023,0.14,"6,540",14,25.12890773,5.147794927,0.436781609,,,,
4025,0.13,"30,260",13,26.2716336,5.654381713,0.398467433,,,,
4027,0.162,"34,400",16.2,79.8055346,0.300410889,0.521072797,,,,
5001,0.147,"2,610",14.7,11.13865912,0.247002469,0.463601533,,,,
5003,0.167,"3,330",16.7,33.39818935,0.494168033,0.540229885,,,,
5005,0.157,"6,540",15.7,63.58408607,0.052745295,0.501915709,,,,
5007,0.107,"29,270",10.7,69.49564035,0.28425482,0.310344828,,,,
5009,0.154,"5,780",15.4,43.27717529,0.328674213,0.490421456,,,,
5011,0.149,"1,620",14.9,54.32153974,0.381215305,0.471264368,,,,
5013,0.13,670,13,65.79119293,0.162855164,0.398467433,,,,
5015,0.14,"3,920",14,38.89472741,0.340738583,0.436781609,,,,
5017,0.207,"2,160",20.7,68.13484104,0.316719639,0.69348659,,,,
5019,0.169,"3,790",16.9,53.95463048,0.202665953,0.54789272,,,,
5021,0.188,"2,760",18.8,15.90308546,0.303172628,0.620689655,,,,
5023,0.161,"4,040",16.1,59.27050968,0.273233155,0.517241379,,,,
5025,0.146,"1,170",14.6,66.12775177,0.23615486,0.459770115,,,,
5027,0.174,"4,110",17.4,44.85537552,0.222832887,0.567049808,,,,
5029,0.18,"3,750",18,5.698453489,0.006972098,0.590038314,,,,
5031,0.16,"17,490",16,42.76660239,0.099201937,0.513409962,,,,
5033,0.159,"10,050",15.9,47.46535803,0.123388214,0.509578544,,,,
5035,0.167,"8,080",16.7,20.29871225,0.176308037,0.540229885,,,,
5037,0.159,"2,640",15.9,38.07495109,0.263121016,0.509578544,,,,
5039,0.141,"1,000",14.1,81.96058497,0.422703028,0.440613027,,,,
5041,0.174,"2,010",17.4,12.10773502,0.383069504,0.567049808,,,,
5043,0.155,"2,830",15.5,40.74584284,0.155890199,0.494252874,,,,
5045,0.143,"17,810",14.3,52.62490274,0.15845868,0.448275862,,,,
5047,0.191,"3,400",19.1,81.52646592,0.380637728,0.632183908,,,,
5049,0.178,"2,190",17.8,55.19259893,0.23581234,0.582375479,,,,
5051,0.176,"17,410",17.6,62.6335627,0.137554785,0.574712644,,,,
5053,0.142,"2,590",14.2,17.80415491,0.108252773,0.444444444,,,,
5055,0.17,"7,700",17,51.08975352,0.138783096,0.551724138,,,,
5057,0.155,"3,370",15.5,54.23963542,0.216024622,0.494252874,,,,
5059,0.158,"5,330",15.8,61.18556555,0.221702106,0.505747126,,,,
5061,0.151,"2,010",15.1,197.8213798,0.256795722,0.478927203,,,,
5063,0.155,"5,810",15.5,171.2865658,0.365621186,0.494252874,,,,
5065,0.181,"2,450",18.1,187.4388305,0.171082015,0.593869732,,,,
5067,0.194,"3,270",19.4,59.29280984,0.179928766,0.643678161,,,,
5069,0.163,"11,080",16.3,32.87439228,0.27966766,0.524904215,,,,
5071,0.167,"4,430",16.7,77.78956881,0.13198241,0.540229885,,,,
5073,0.187,"1,260",18.7,37.49853041,0.149453594,0.616858238,,,,
5075,0.17,"2,800",17,45.88710649,0.260756623,0.551724138,,,,
5077,0.194,"1,740",19.4,22.56924016,0.300939563,0.643678161,,,,
5079,0.152,"2,010",15.2,51.94468293,0.108430477,0.482758621,,,,
5081,0.143,"1,760",14.3,20.84234745,0.199058024,0.448275862,,,,
5083,0.173,"3,730",17.3,61.63836083,0.122699981,0.563218391,,,,
5085,0.135,"9,850",13.5,25.81752085,0.128432852,0.417624521,,,,
5087,0.155,"2,540",15.5,46.86235384,0.397003785,0.494252874,,,,
5089,0.182,"3,010",18.2,53.60717905,0.052513164,0.597701149,,,,
5091,0.163,"7,090",16.3,38.03605756,0.164185631,0.524904215,,,,
5093,0.183,"7,590",18.3,83.07786286,0.315623398,0.601532567,,,,
5095,0.183,"1,260",18.3,3.792688009,0.345280711,0.601532567,,,,
5097,0.182,"1,630",18.2,47.95743424,0.213746907,0.597701149,,,,
5099,0.17,"1,410",17,63.50642964,0.2691547,0.551724138,,,,
5101,0.141,"1,090",14.1,47.58760246,0.326696097,0.440613027,,,,
5103,0.17,"4,000",17,21.15243764,0.191760874,0.551724138,,,,
5105,0.161,"1,660",16.1,76.68046205,0.338453801,0.517241379,,,,
5107,0.222,"4,020",22.2,48.07761516,0.267313975,0.750957854,,,,
5109,0.171,"1,830",17.1,62.38791071,0.076415521,0.555555556,,,,
5111,0.182,"4,330",18.2,29.38018237,0.293982882,0.597701149,,,,
5113,0.188,"3,770",18.8,37.71545986,0.328384558,0.620689655,,,,
5115,0.148,"9,450",14.8,43.29461592,0.221664483,0.46743295,,,,
5117,0.14,"1,140",14,41.14012534,0.025220531,0.436781609,,,,
5119,0.147,"57,690",14.7,60.15132107,0.211185446,0.463601533,,,,
5121,0.176,"3,150",17.6,6.331164731,0.234758344,0.574712644,,,,
5123,0.195,"4,970",19.5,94.22877427,0.09846767,0.647509579,,,,
5125,0.116,"14,010",11.6,22.51125163,0.187648189,0.344827586,,,,
5127,0.164,"1,680",16.4,59.58455932,0.407815324,0.528735632,,,,
5129,0.203,"1,600",20.3,25.76004636,0.057374861,0.67816092,,,,
5131,0.165,"21,040",16.5,56.99231286,0.201047621,0.53256705,,,,
5133,0.152,"2,580",15.2,22.5594429,0.260642946,0.482758621,,,,
5135,0.182,"3,130",18.2,2.45485146,0.405637419,0.597701149,,,,
5137,0.193,"2,430",19.3,4.864639369,0.273524663,0.639846743,,,,
5139,0.159,"6,210",15.9,92.9525353,0.310854776,0.509578544,,,,
5141,0.177,"2,930",17.7,35.05676755,0.085952879,0.578544061,,,,
5143,0.135,"31,830",13.5,27.20986012,0.25294135,0.417624521,,,,
5145,0.154,"12,150",15.4,10.11335351,0.268743799,0.490421456,,,,
5147,0.169,"1,090",16.9,59.4404145,0.303590408,0.54789272,,,,
5149,0.14,"3,000",14,26.17595269,7.66727181,0.436781609,,,,
6001,0.093,"154,830",9.3,35.18306186,7.098856474,0.256704981,,,,
6003,0.117,140,11.7,76.92972218,7.324507345,0.348659004,,,,
6005,0.106,"4,160",10.6,19.07192122,7.574205805,0.30651341,,,,
6007,0.14,"31,330",14,93.69036471,7.298003458,0.436781609,,,,
6009,0.114,"5,240",11.4,32.68575658,7.745884294,0.337164751,,,,
6011,0.129,"2,760",12.9,6.865735238,7.674668416,0.394636015,,,,
6013,0.085,"97,160",8.5,37.64135912,8.202440403,0.22605364,,,,
6015,0.144,"3,990",14.4,49.05492513,7.28784889,0.45210728,,,,
6017,0.095,"18,100",9.5,24.15472653,7.066049726,0.264367816,,,,
6019,0.144,"142,780",14.4,19.92957332,7.785491105,0.45210728,,,,
6021,0.125,"3,520",12.5,43.32863466,8.181510138,0.379310345,,,,
6023,0.15,"20,400",15,50.59427302,6.044411684,0.475095785,,,,
6025,0.19,"34,270",19,35.04016587,6.449252717,0.62835249,,,,
6027,0.107,"1,910",10.7,8.45889455,6.854280813,0.310344828,,,,
6029,0.143,"127,510",14.3,68.3266608,7.130418754,0.448275862,,,,
6031,0.126,"19,010",12.6,12.06127971,7.885519875,0.383141762,,,,
6033,0.15,"9,610",15,16.52211661,7.319546098,0.475095785,,,,
6035,0.112,"3,430",11.2,40.99745292,6.763981524,0.329501916,,,,
6037,0.127,"1,271,040",12.7,45.65148277,7.088678698,0.38697318,,,,
6039,0.126,"19,680",12.6,49.54900553,7.890154827,0.383141762,,,,
6041,0.075,"19,470",7.5,43.33455782,7.123750899,0.187739464,,,,
6043,0.149,"2,580",14.9,38.3165662,8.053504095,0.471264368,,,,
6045,0.139,"12,130",13.9,16.82924531,7.35251213,0.432950192,,,,
6047,0.139,"38,150",13.9,111.0840907,7.379467327,0.432950192,,,,
6049,0.136,"1,210",13.6,81.11181281,6.843229777,0.421455939,,,,
6051,0.107,"1,540",10.7,76.22742201,7.522288224,0.310344828,,,,
6053,0.102,"44,380",10.2,41.6508866,7.779992494,0.291187739,,,,
6055,0.087,"12,070",8.7,71.46496402,7.351227052,0.233716475,,,,
6057,0.103,"10,230",10.3,64.3397177,6.672451092,0.295019157,,,,
6059,0.094,"296,470",9.4,25.87298739,7.338228795,0.260536398,,,,
6061,0.08,"31,360",8,24.91194455,7.373233313,0.206896552,,,,
6063,0.131,"2,470",13.1,17.85479658,6.170146655,0.402298851,,,,
6065,0.097,"237,110",9.7,44.51347358,7.512711616,0.272030651,,,,
6067,0.117,"179,280",11.7,66.06745324,7.464828838,0.348659004,,,,
6069,0.083,"5,100",8.3,32.68088984,6.1592093,0.218390805,,,,
6071,0.106,"228,340",10.6,7.5955792,6.432138741,0.30651341,,,,
6073,0.101,"336,190",10.1,29.14370414,7.816672005,0.287356322,,,,
6075,0.11,"95,890",11,60.96753034,7.494966637,0.32183908,,,,
6077,0.121,"90,820",12.1,17.55101514,7.321973129,0.363984674,,,,
6079,0.091,"25,600",9.1,23.69223848,7.791921498,0.249042146,,,,
6081,0.071,"53,990",7.1,46.83662551,7.248552862,0.172413793,,,,
6083,0.092,"41,140",9.2,27.07665702,7.621245553,0.252873563,,,,
6085,0.075,"144,140",7.5,40.24849059,7.709649656,0.187739464,,,,
6087,0.1,"27,360",10,71.73087151,7.700656743,0.283524904,,,,
6089,0.138,"24,670",13.8,40.89848036,7.284332458,0.429118774,,,,
6091,0.113,330,11.3,64.56650532,7.84837444,0.333333333,,,,
