FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Normalized%,,,28.7,2.6
18015,0.104,"2,080",10.4,73.60696194,1.582901623,0.298850575,,,,
18017,0.123,"4,620",12.3,38.69117365,0.841267969,0.37164751,,,,
18019,0.112,"13,150",11.2,81.69215723,1.107260934,0.329501916,,,,
18021,0.126,"3,320",12.6,79.72712634,1.421595279,0.383141762,,,,
18023,0.111,"3,560",11.1,105.043056,0.728284279,0.325670498,,,,
18025,0.154,"1,630",15.4,49.71292962,0.867720088,0.490421456,,,,
18027,0.11,"3,660",11,87.32751545,1.133387147,0.32183908,,,,
18029,0.105,"5,220",10.5,71.07030483,1.130813537,0.302681992,,,,
18031,0.12,"3,200",12,36.1430494,1.862846138,0.360153257,,,,
18033,0.113,"4,890",11.3,37.17286532,1.444044968,0.333333333,,,,
18035,0.151,"17,320",15.1,89.27573461,0.74755626,0.478927203,,,,
18037,0.092,"3,900",9.2,141.0854274,1.884963851,0.252873563,,,,
18039,0.113,"23,190",11.3,150.1932539,1.268514021,0.333333333,,,,
18041,0.17,"3,920",17,110.4317224,0.77118652,0.551724138,,,,
18043,0.106,"8,290",10.6,64.46714396,1.36168485,0.30651341,,,,
18045,0.131,"2,160",13.1,145.0952636,1.208038673,0.402298851,,,,
18047,0.097,"2,200",9.7,121.5647163,1.683325899,0.272030651,,,,
18049,0.129,"2,600",12.9,80.49770744,0.760744832,0.394636015,,,,
18051,0.111,"3,730",11.1,168.0406687,1.524722189,0.325670498,,,,
18053,0.149,"9,870",14.9,104.6300529,0.981226093,0.471264368,,,,
18055,0.133,"4,280",13.3,72.77303116,1.354431581,0.409961686,,,,
18057,0.068,"22,370",6.8,187.0930512,1.283391319,0.16091954,,,,
18059,0.088,"6,730",8.8,194.6331492,0.713817851,0.237547893,,,,
18061,0.11,"4,420",11,154.4465422,1.236869485,0.32183908,,,,
18063,0.074,"12,290",7.4,84.76663455,1.345349479,0.183908046,,,,
18065,0.135,"6,510",13.5,117.3485421,1.493226294,0.417624521,,,,
18067,0.144,"11,850",14.4,133.3401147,1.64017549,0.45210728,,,,
18069,0.119,"4,310",11.9,102.1798891,0.957846933,0.356321839,,,,
18071,0.133,"5,870",13.3,44.9137241,1.671092588,0.409961686,,,,
18073,0.11,"3,690",11,181.679394,1.544299518,0.32183908,,,,
18075,0.134,"2,770",13.4,188.2515495,0.96767102,0.413793103,,,,
18077,0.143,"4,590",14.3,83.29582016,1.018259108,0.448275862,,,,
18079,0.126,"3,480",12.6,150.4066033,1.153036403,0.383141762,,,,
18081,0.094,"14,630",9.4,126.5326655,0.876825027,0.260536398,,,,
18083,0.144,"5,310",14.4,96.16265327,1.763668659,0.45210728,,,,
18085,0.105,"8,270",10.5,121.2201934,1.919164625,0.302681992,,,,
18087,0.087,"3,450",8.7,192.9057857,1.812311137,0.233716475,,,,
18089,0.131,"63,560",13.1,68.86065905,1.85016939,0.402298851,,,,
18091,0.139,"15,240",13.9,169.8723188,0.91640883,0.432950192,,,,
18093,0.123,"5,600",12.3,174.9839502,1.400958007,0.37164751,,,,
18095,0.145,"18,820",14.5,130.08517,1.251368828,0.455938697,,,,
18097,0.134,"128,270",13.4,197.2059124,1.779289119,0.413793103,,,,
18099,0.116,"5,400",11.6,62.97135262,0.866322028,0.344827586,,,,
18101,0.117,"1,190",11.7,30.85414309,1.593940408,0.348659004,,,,
18103,0.143,"5,100",14.3,116.9073599,1.026057953,0.448275862,,,,
18105,0.133,"19,540",13.3,177.4996053,1.328481303,0.409961686,,,,
18107,0.115,"4,390",11.5,165.9453303,1.138505014,0.340996169,,,,
18109,0.099,"6,950",9.9,103.5126181,1.65358906,0.279693487,,,,
18111,0.124,"1,730",12.4,186.4618099,1.836861756,0.375478927,,,,
18113,0.11,"5,230",11,166.3376778,1.074479122,0.32183908,,,,
18115,0.118,690,11.8,77.9020643,0.812688636,0.352490421,,,,
18117,0.163,"3,190",16.3,48.7238496,1.07599995,0.524904215,,,,
18119,0.135,"2,820",13.5,74.10779496,1.240843239,0.417624521,,,,
18121,0.126,"2,130",12.6,195.3316211,0.649969552,0.383141762,,,,
18123,0.123,"2,360",12.3,97.39974866,0.768551607,0.37164751,,,,
18125,0.109,"1,350",10.9,55.83636107,1.822046477,0.318007663,,,,
18127,0.107,"18,070",10.7,139.1876609,0.694833466,0.310344828,,,,
18129,0.097,"2,460",9.7,178.9599212,1.675503433,0.272030651,,,,
18131,0.12,"1,490",12,156.6141387,1.198626588,0.360153257,,,,
18133,0.106,"3,960",10.6,104.0347827,1.452175615,0.30651341,,,,
18135,0.125,"3,090",12.5,152.6782303,1.087513965,0.379310345,,,,
18137,0.117,"3,320",11.7,109.151633,1.236889645,0.348659004,,,,
18139,0.132,"2,200",13.2,59.86711832,1.879552835,0.406130268,,,,
18141,0.132,"35,660",13.2,126.7142444,0.905692964,0.406130268,,,,
18143,0.167,"3,960",16.7,146.6156411,1.181110134,0.540229885,,,,
18145,0.12,"5,350",12,138.9928504,0.62862699,0.360153257,,,,
18147,0.101,"2,060",10.1,196.3223218,1.758636935,0.287356322,,,,
18149,0.144,"3,300",14.4,105.120721,1.944971647,0.45210728,,,,
18151,0.108,"3,750",10.8,102.408438,1.012778903,0.314176245,,,,
18153,0.131,"2,700",13.1,82.55768137,1.02758954,0.402298851,,,,
18155,0.174,"1,870",17.4,51.47173296,1.44921289,0.567049808,,,,
18157,0.125,"24,180",12.5,66.71111094,1.436326561,0.379310345,,,,
18159,0.107,"1,620",10.7,127.5543937,1.289548602,0.310344828,,,,
18161,0.099,710,9.9,113.0809592,0.666472827,0.279693487,,,,
18163,0.14,"25,330",14,149.6425982,1.276757092,0.436781609,,,,
18165,0.145,"2,240",14.5,91.02066564,1.12867085,0.455938697,,,,
18167,0.153,"16,390",15.3,100.2177975,1.63002287,0.486590038,,,,
18169,0.118,"3,670",11.8,116.346563,1.442534405,0.352490421,,,,
18171,0.111,910,11.1,196.9802256,0.666057225,0.325670498,,,,
18173,0.084,"5,250",8.4,45.20355052,0.850161687,0.222222222,,,,
18175,0.133,"3,730",13.3,50.81873725,1.357327698,0.409961686,,,,
18177,0.146,"9,690",14.6,59.35592257,1.623954746,0.459770115,,,,
18179,0.099,"2,790",9.9,45.48067442,1.574242368,0.279693487,,,,
18181,0.104,"2,510",10.4,76.52237265,1.744283319,0.298850575,,,,
18183,0.104,"3,530",10.4,47.23338728,1.769686158,0.298850575,,,,
19001,0.089,630,8.9,64.78870887,1.66997291,0.24137931,,,,
19003,0.087,320,8.7,45.07332812,2.550054887,0.233716475,,,,
19005,0.076,"1,040",7.6,33.81502119,1.599449425,0.191570881,,,,
19007,0.132,"1,640",13.2,75.68961891,1.901630312,0.406130268,,,,
19009,0.08,440,8,2.970826418,2.100143515,0.206896552,,,,
19011,0.069,"1,770",6.9,46.08492172,2.215352935,0.164750958,,,,
19013,0.098,"12,900",9.8,19.21468685,2.012369396,0.275862069,,,,
19015,0.064,"1,700",6.4,59.31639391,2.317742958,0.14559387,,,,
19017,0.053,"1,340",5.3,8.16270538,2.246536043,0.103448276,,,,
19019,0.065,"1,380",6.5,102.6670701,2.270920583,0.149425287,,,,
19021,0.065,"1,290",6.5,54.25644283,2.28031669,0.149425287,,,,
19023,0.081,"1,170",8.1,36.13717652,2.137238383,0.210727969,,,,
19025,0.076,730,7.6,33.37840448,2.02152928,0.191570881,,,,
19027,0.064,"1,280",6.4,44.1759584,1.780900475,0.14559387,,,,
19029,0.082,"1,070",8.2,23.75930596,2.069714508,0.214559387,,,,
19031,0.06,"1,120",6,51.13179614,2.384927211,0.130268199,,,,
19033,0.083,"3,560",8.3,40.95697343,2.289697927,0.218390805,,,,
19035,0.079,900,7.9,54.74059605,2.414458368,0.203065134,,,,
19037,0.07,840,7,93.38838479,1.664835836,0.168582375,,,,
19039,0.109,"1,020",10.9,1.682803492,2.390276834,0.318007663,,,,
19041,0.088,"1,420",8.8,14.70701312,2.408275723,0.237547893,,,,
19043,0.099,"1,730",9.9,42.27582709,2.109416487,0.279693487,,,,
19045,0.104,"4,840",10.4,17.98939803,2.040482766,0.298850575,,,,
19047,0.103,"1,750",10.3,20.50305428,1.889948811,0.295019157,,,,
19049,0.045,"4,060",4.5,52.70309433,1.631688045,0.072796935,,,,
19051,0.068,610,6.8,21.86615852,1.564003807,0.16091954,,,,
19053,0.102,810,10.2,60.73404813,2.283930638,0.291187739,,,,
19055,0.063,"1,070",6.3,5.896523231,1.77704556,0.141762452,,,,
19057,0.115,"4,520",11.5,30.36973384,2.491936776,0.340996169,,,,
19059,0.073,"1,260",7.3,19.62564585,2.307802846,0.180076628,,,,
19061,0.079,"7,700",7.9,29.94834605,2.481217021,0.203065134,,,,
19063,0.081,760,8.1,30.41666049,2.376572282,0.210727969,,,,
19065,0.093,"1,830",9.3,36.93507184,2.392701282,0.256704981,,,,
19067,0.1,"1,570",10,58.92841324,2.264526208,0.283524904,,,,
19069,0.082,820,8.2,23.6684097,1.615428725,0.214559387,,,,
19071,0.063,430,6.3,65.97239014,2.013021077,0.141762452,,,,
19073,0.086,770,8.6,22.68239666,2.167544017,0.229885057,,,,
19075,0.051,630,5.1,27.26148698,1.892311146,0.095785441,,,,
19077,0.071,760,7.1,16.65484829,2.134968892,0.172413793,,,,
19079,0.065,960,6.5,43.48390661,2.376234404,0.149425287,,,,
19081,0.082,870,8.2,21.65209364,2.144972808,0.214559387,,,,
19083,0.077,"1,310",7.7,51.82948609,1.944007994,0.195402299,,,,
19085,0.073,"1,030",7.3,39.31749543,1.788704886,0.180076628,,,,
19087,0.086,"1,710",8.6,41.36615329,2.515162754,0.229885057,,,,
19089,0.068,620,6.8,24.23384875,2.268361102,0.16091954,,,,
19091,0.093,890,9.3,84.85464356,2.165801627,0.256704981,,,,
19093,0.079,550,7.9,34.91741258,1.969207338,0.203065134,,,,
19095,0.065,"1,050",6.5,68.29078864,2.204148898,0.149425287,,,,
19097,0.085,"1,650",8.5,27.61310854,1.91167618,0.22605364,,,,
19099,0.08,"2,960",8,26.26047413,1.763460869,0.206896552,,,,
19101,0.099,"1,790",9.9,53.57495031,2.004169165,0.279693487,,,,
19103,0.076,"11,510",7.6,22.63826084,2.190378441,0.191570881,,,,
19105,0.078,"1,610",7.8,58.1921189,1.844560256,0.199233716,,,,
19107,0.096,970,9.6,0.671277268,2.416613064,0.268199234,,,,
19109,0.086,"1,290",8.6,35.48269735,1.687098292,0.229885057,,,,
19111,0.099,"3,340",9.9,52.69068613,2.136043912,0.279693487,,,,
19113,0.075,"16,980",7.5,39.99693046,1.880877185,0.187739464,,,,
19115,0.068,760,6.8,40.46230974,1.676239171,0.16091954,,,,
19117,0.101,870,10.1,78.51026984,2.539558401,0.287356322,,,,
19119,0.039,460,3.9,66.91086194,1.767303736,0.049808429,,,,
19121,0.061,990,6.1,83.73227424,1.81276631,0.134099617,,,,
19123,0.093,"2,090",9.3,32.47567949,1.789451686,0.256704981,,,,
19125,0.073,"2,410",7.3,82.82861358,2.033672145,0.180076628,,,,
19127,0.085,"3,390",8.5,4.544059779,1.713121964,0.22605364,,,,
19129,0.065,970,6.5,64.60670618,2.494272124,0.149425287,,,,
19131,0.059,620,5.9,13.59184009,2.077073542,0.126436782,,,,
19133,0.098,850,9.8,46.16297577,1.696546554,0.275862069,,,,
19135,0.093,720,9.3,73.47885142,1.686545368,0.256704981,,,,
19137,0.09,910,9,27.6409487,1.969602407,0.245210728,,,,
19139,0.072,"3,100",7.2,32.81720952,2.408482674,0.176245211,,,,
19141,0.077,"1,060",7.7,50.52675109,2.509220914,0.195402299,,,,
19143,0.073,440,7.3,31.04404031,1.586969502,0.180076628,,,,
19145,0.092,"1,390",9.2,33.92484523,2.378858678,0.252873563,,,,
19147,0.069,610,6.9,32.91165102,2.323261927,0.164750958,,,,
19149,0.06,"1,500",6,34.68969513,2.258600929,0.130268199,,,,
19151,0.078,520,7.8,27.57041622,1.895643364,0.199233716,,,,
19153,0.08,"38,870",8,37.99815374,1.810543492,0.206896552,,,,
19155,0.086,"8,010",8.6,33.56154433,1.93785992,0.229885057,,,,
19157,0.084,"1,540",8.4,24.12466017,1.560999725,0.222222222,,,,
19159,0.079,390,7.9,36.4298489,2.149372775,0.203065134,,,,
19161,0.067,650,6.7,34.33347948,2.018707712,0.157088123,,,,
19163,0.087,"15,060",8.7,30.95333844,1.917036566,0.233716475,,,,
19165,0.068,790,6.8,31.13455156,2.437166915,0.16091954,,,,
19167,0.038,"1,320",3.8,24.55134306,2.019173126,0.045977011,,,,
19169,0.073,"7,140",7.3,43.58702594,2.070744637,0.180076628,,,,
19171,0.082,"1,400",8.2,1.66800355,1.569329297,0.214559387,,,,
19173,0.061,380,6.1,53.43736022,1.662389586,0.134099617,,,,
19175,0.098,"1,210",9.8,37.03841457,1.672917306,0.275862069,,,,
19177,0.094,670,9.4,63.68628846,1.725758451,0.260536398,,,,
19179,0.111,"3,880",11.1,46.56902219,1.774607858,0.325670498,,,,
19181,0.057,"2,910",5.7,54.16825748,1.88321182,0.118773946,,,,
19183,0.07,"1,540",7,42.13506759,1.576670825,0.168582375,,,,
19185,0.096,620,9.6,26.41571806,2.147496202,0.268199234,,,,
19187,0.101,"3,690",10.1,24.62650929,2.478653193,0.287356322,,,,
19189,0.076,800,7.6,38.37040178,2.519860498,0.191570881,,,,
19191,0.071,"1,430",7.1,113.1411971,2.195721813,0.172413793,,,,
19193,0.083,"8,500",8.3,134.4816996,2.486947537,0.218390805,,,,
19195,0.067,500,6.7,178.9946058,2.255466995,0.157088123,,,,
19197,0.085,"1,070",8.5,51.55563678,0.659672762,0.22605364,,,,
20001,0.133,"1,660",13.3,97.55677656,0.759434762,0.409961686,,,,
20003,0.117,920,11.7,164.3347906,1.189405674,0.348659004,,,,
20005,0.122,"1,970",12.2,118.1447076,1.313066781,0.367816092,,,,
20007,0.136,610,13.6,71.23405099,1.495360608,0.421455939,,,,
20009,0.115,"3,020",11.5,116.6285461,0.59758234,0.340996169,,,,
20011,0.128,"1,860",12.8,40.37007202,1.30676799,0.390804598,,,,
20013,0.124,"1,190",12.4,169.2295014,0.924047761,0.375478927,,,,
20015,0.105,"7,050",10.5,196.935585,0.990036296,0.302681992,,,,
20017,0.093,240,9.3,40.04379607,0.67028861,0.256704981,,,,
20019,0.16,530,16,105.3026856,0.382364019,0.513409962,,,,
20021,0.134,"2,690",13.4,145.2068325,2.414725919,0.413793103,,,,
20023,0.096,250,9.6,173.1270514,1.619623755,0.268199234,,,,
20025,0.101,200,10.1,56.55504241,1.364817589,0.287356322,,,,
20027,0.102,820,10.2,33.77470552,1.483089524,0.291187739,,,,
20029,0.104,920,10.4,140.9245631,0.825318176,0.298850575,,,,
20031,0.115,950,11.5,174.7265324,1.468085638,0.340996169,,,,
20033,0.106,190,10.6,186.8113705,0.830652831,0.30651341,,,,
20035,0.127,"4,470",12.7,172.2972378,0.486257573,0.38697318,,,,
20037,0.143,"5,560",14.3,64.04517521,2.12343093,0.448275862,,,,
20039,0.133,380,13.3,70.46394697,1.235930999,0.409961686,,,,
20041,0.106,"1,970",10.6,161.1820777,1.263974351,0.30651341,,,,
20043,0.115,880,11.5,62.42976074,0.974183027,0.340996169,,,,
20045,0.115,"13,900",11.5,161.1730985,1.545498638,0.340996169,,,,
20047,0.081,230,8.1,57.6268523,0.72499133,0.210727969,,,,
20049,0.135,340,13.5,173.6706555,1.70310303,0.417624521,,,,
20051,0.098,"2,820",9.8,92.41028549,1.411164608,0.275862069,,,,
20053,0.088,540,8.8,107.7099684,1.932073779,0.237547893,,,,
20055,0.08,"2,920",8,168.995772,1.674513558,0.206896552,,,,
20057,0.074,"2,480",7.4,89.72680627,0.869860547,0.183908046,,,,
20059,0.111,"2,860",11.1,130.0035777,1.201678111,0.325670498,,,,
20061,0.133,"4,430",13.3,57.2902261,1.978968978,0.409961686,,,,
20063,0.097,260,9.7,144.1227261,1.912178535,0.272030651,,,,
20065,0.106,260,10.6,152.5194221,2.043509185,0.30651341,,,,
20067,0.076,560,7.6,80.27828715,1.824200965,0.191570881,,,,
20069,0.047,290,4.7,134.816267,2.254916982,0.08045977,,,,
20071,0.096,110,9.6,143.0048034,0.816330516,0.268199234,,,,
20073,0.123,740,12.3,83.25272525,2.205456513,0.37164751,,,,
20075,0.063,160,6.3,83.59518867,1.147303939,0.141762452,,,,
20077,0.125,690,12.5,124.5149505,1.108204419,0.379310345,,,,
20079,0.103,"3,550",10.3,22.18877139,1.925792535,0.295019157,,,,
20081,0.067,270,6.7,101.4752526,1.719771435,0.157088123,,,,
20083,0.09,170,9,75.79365539,1.195131707,0.245210728,,,,
20085,0.11,"1,460",11,105.0802112,1.097062137,0.32183908,,,,
20087,0.082,"1,560",8.2,56.0383233,1.663619926,0.214559387,,,,
20089,0.119,340,11.9,25.34758998,0.939071642,0.356321839,,,,
20091,0.072,"42,860",7.2,51.63368726,2.080882569,0.176245211,,,,
20093,0.105,410,10.5,56.35120815,1.203714681,0.302681992,,,,
20095,0.092,660,9.2,51.81796575,1.502788993,0.252873563,,,,
20097,0.09,220,9,38.22098012,0.466281621,0.245210728,,,,
20099,0.138,"2,750",13.8,28.70145529,1.913176559,0.429118774,,,,
20101,0.105,160,10.5,24.45208219,1.058876574,0.302681992,,,,
20103,0.093,"7,540",9.3,23.24392932,1.486013934,0.256704981,,,,
20105,0.099,300,9.9,1.352487669,0.7147752,0.279693487,,,,
20107,0.136,"1,320",13.6,46.04676796,2.142082191,0.421455939,,,,
20109,0.105,290,10.5,41.90809764,0.95273889,0.302681992,,,,
20111,0.104,"3,450",10.4,56.54090829,1.226805256,0.298850575,,,,
20113,0.089,"2,550",8.9,48.91862164,1.103035413,0.24137931,,,,
20115,0.093,"1,100",9.3,40.34369566,1.394909523,0.256704981,,,,
20117,0.085,830,8.5,64.29901976,1.768104954,0.22605364,,,,
20119,0.075,310,7.5,53.81880626,0.831939265,0.187739464,,,,
20121,0.087,"2,940",8.7,29.89549383,1.566205592,0.233716475,,,,
20123,0.108,650,10.8,22.92102112,0.560081182,0.314176245,,,,
20125,0.15,"4,820",15,30.79943054,1.09929404,0.475095785,,,,
20127,0.101,560,10.1,73.88127795,2.157723074,0.287356322,,,,
20129,0.12,320,12,55.02466142,1.335178414,0.360153257,,,,
20131,0.088,890,8.8,47.75788066,0.56519834,0.237547893,,,,
20133,0.139,"2,220",13.9,48.81216752,1.775646625,0.432950192,,,,
20135,0.092,260,9.2,49.42541674,2.001660169,0.252873563,,,,
20137,0.085,460,8.5,77.75777257,0.948327213,0.22605364,,,,
20139,0.117,"1,850",11.7,25.60898787,1.669365877,0.348659004,,,,
20141,0.11,380,11,34.56707163,1.395520002,0.32183908,,,,
20143,0.096,560,9.6,38.89374769,1.564880006,0.268199234,,,,
20145,0.113,740,11.3,68.27133292,1.88440435,0.333333333,,,,
20147,0.114,600,11.4,44.30121163,1.249079697,0.337164751,,,,
20149,0.08,"1,950",8,16.73574795,1.369551966,0.206896552,,,,
20151,0.093,860,9.3,34.21624233,2.26267428,0.256704981,,,,
20153,0.102,250,10.2,72.3617559,1.24753357,0.291187739,,,,
20155,0.113,"7,040",11.3,55.68085669,1.575312126,0.333333333,,,,
20157,0.089,410,8.9,41.5632822,1.342404249,0.24137931,,,,
20159,0.11,"1,050",11,55.30856734,1.281096839,0.32183908,,,,
20161,0.127,"9,380",12.7,37.79119382,1.788281524,0.38697318,,,,
20163,0.09,450,9,49.31465977,1.634037587,0.245210728,,,,
20165,0.098,290,9.8,6.399552371,1.57769579,0.275862069,,,,
20167,0.11,760,11,42.3638842,1.31283482,0.32183908,,,,
20169,0.113,"6,170",11.3,53.00025346,2.024642219,0.333333333,,,,
20171,0.076,370,7.6,34.97534954,1.052727347,0.191570881,,,,
20173,0.129,"66,610",12.9,58.22108482,1.898009934,0.394636015,,,,
20175,0.08,"1,760",8,55.44852256,1.072346939,0.206896552,,,,
20177,0.105,"18,610",10.5,26.70037081,2.040112116,0.302681992,,,,
20179,0.07,180,7,26.6473073,2.344129615,0.168582375,,,,
20181,0.082,480,8.2,50.9220385,1.771516561,0.214559387,,,,
20183,0.095,340,9.5,71.68149134,1.414432004,0.264367816,,,,
20185,0.096,400,9.6,37.12079676,2.172264189,0.268199234,,,,
20187,0.1,200,10,6.934280227,2.024185397,0.283524904,,,,
20189,0.096,530,9.6,24.32896486,0.994433067,0.268199234,,,,
20191,0.132,"3,030",13.2,44.57816137,2.184422578,0.406130268,,,,
20193,0.081,630,8.1,49.04196707,1.832688892,0.210727969,,,,
20195,0.082,230,8.2,93.79892299,1.103335437,0.214559387,,,,
20197,0.084,580,8.4,53.58614218,2.295238452,0.222222222,,,,
20199,0.115,180,11.5,16.84694406,1.473842557,0.340996169,,,,
20201,0.088,480,8.8,77.66816444,2.136977348,0.237547893,,,,
20203,0.079,170,7.9,52.8050249,0.643315561,0.203065134,,,,
20205,0.14,"1,210",14,73.73964169,0.727826883,0.436781609,,,,
20207,0.131,410,13.1,42.42772571,1.014499148,0.402298851,,,,
20209,0.129,"21,330",12.9,53.95864608,0.521579578,0.394636015,,,,
21001,0.152,"2,950",15.2,68.67641641,0.251387014,0.482758621,,,,
21003,0.137,"2,880",13.7,57.61791086,0.796475481,0.425287356,,,,
21005,0.131,"2,960",13.1,2.122299034,0.62953125,0.402298851,,,,
21007,0.134,"1,060",13.4,84.27900877,0.354320837,0.413793103,,,,
21009,0.178,"7,860",17.8,55.77059005,0.82261579,0.582375479,,,,
21011,0.186,"2,310",18.6,31.55335404,0.341393703,0.61302682,,,,
21013,0.219,"5,790",21.9,71.26787929,1.112214714,0.739463602,,,,
21015,0.079,"10,440",7.9,29.92582632,0.843328107,0.203065134,,,,
21017,0.126,"2,510",12.6,67.26151424,0.962424316,0.383141762,,,,
21019,0.16,"7,590",16,41.27652272,0.683423969,0.513409962,,,,
21021,0.134,"4,040",13.4,85.79241187,1.008576867,0.413793103,,,,
21023,0.144,"1,200",14.4,41.35149553,0.631590708,0.45210728,,,,
21025,0.245,"3,140",24.5,44.11933373,0.551575642,0.83908046,,,,
21027,0.147,"2,980",14.7,45.71574627,0.681262155,0.463601533,,,,
21029,0.104,"8,410",10.4,33.82438533,0.347455127,0.298850575,,,,
21031,0.148,"1,890",14.8,51.06203945,0.440267818,0.46743295,,,,
21033,0.155,"1,970",15.5,10.33172083,0.434091562,0.494252874,,,,
21035,0.143,"5,580",14.3,67.55863018,1.102717093,0.448275862,,,,
21037,0.107,"10,010",10.7,53.03005889,0.589685375,0.310344828,,,,
21039,0.123,580,12.3,95.73156085,0.968175831,0.37164751,,,,
21041,0.161,"1,730",16.1,64.71864522,0.917528506,0.517241379,,,,
21043,0.184,"4,970",18.4,51.34434968,0.594135937,0.605363985,,,,
21045,0.173,"2,760",17.3,95.59946735,0.305801574,0.563218391,,,,
21047,0.154,"11,010",15.4,84.4515799,0.760466262,0.490421456,,,,
21049,0.139,"5,040",13.9,46.76162767,0.484433933,0.432950192,,,,
21051,0.235,"4,720",23.5,51.81128789,0.457137698,0.800766284,,,,
21053,0.159,"1,620",15.9,55.85807335,0.53579378,0.509578544,,,,
21055,0.133,"1,190",13.3,63.40161636,0.438140623,0.409961686,,,,
21057,0.147,980,14.7,36.26692903,0.534100344,0.463601533,,,,
21059,0.13,"13,120",13,70.59106812,0.379282412,0.398467433,,,,
21061,0.158,"1,920",15.8,15.71562214,0.847485815,0.505747126,,,,
21063,0.208,"1,550",20.8,74.21078571,0.662949021,0.697318008,,,,
21065,0.202,"2,870",20.2,52.028966,0.794812446,0.674329502,,,,
21067,0.114,"36,600",11.4,56.64700383,0.901609819,0.337164751,,,,
21069,0.163,"2,370",16.3,60.73681805,0.686496327,0.524904215,,,,
21071,0.208,"7,470",20.8,28.80641779,0.879813827,0.697318008,,,,
21073,0.124,"6,300",12.4,17.95645914,0.481071335,0.375478927,,,,
21075,0.171,"1,040",17.1,42.43239081,1.030809879,0.555555556,,,,
21077,0.124,"1,090",12.4,76.66370198,0.662096832,0.375478927,,,,
21079,0.114,"2,000",11.4,49.44145945,1.009547316,0.337164751,,,,
21081,0.127,"3,180",12.7,71.90239012,0.545249034,0.38697318,,,,
21083,0.144,"5,350",14.4,20.13441588,0.451553507,0.45210728,,,,
21085,0.176,"4,640",17.6,50.51379036,0.501754729,0.574712644,,,,
21087,0.173,"1,910",17.3,43.17759467,1.003323675,0.563218391,,,,
21089,0.151,"5,350",15.1,40.60873673,0.565994666,0.478927203,,,,
21091,0.123,"1,070",12.3,26.8999586,0.564950561,0.37164751,,,,
21093,0.119,"13,010",11.9,38.65111989,0.431268737,0.356321839,,,,
21095,0.254,"6,680",25.4,41.07644488,0.927393641,0.873563218,,,,
21097,0.138,"2,580",13.8,44.45824101,0.454245068,0.429118774,,,,
21099,0.161,"3,030",16.1,92.07477864,0.590744154,0.517241379,,,,
21101,0.151,"6,860",15.1,82.44866556,0.902831457,0.478927203,,,,
21103,0.141,"2,260",14.1,70.88816121,0.553721958,0.440613027,,,,
21105,0.144,640,14.4,81.21988736,0.433637549,0.45210728,,,,
21107,0.157,"7,050",15.7,42.72045945,0.568361072,0.501915709,,,,
21109,0.219,"2,920",21.9,72.51003464,0.754242263,0.739463602,,,,
21111,0.115,"88,230",11.5,42.64484072,0.743172983,0.340996169,,,,
21113,0.113,"6,050",11.3,30.1366171,0.785598093,0.333333333,,,,
21115,0.184,"4,120",18.4,22.93799483,1.103154248,0.605363985,,,,
21117,0.108,"18,010",10.8,32.42750725,0.61720812,0.314176245,,,,
21119,0.222,"3,340",22.2,53.65530067,0.386828273,0.750957854,,,,
21121,0.206,"6,450",20.6,22.64214539,0.553556123,0.689655172,,,,
21123,0.141,"2,010",14.1,26.37960363,0.462403533,0.440613027,,,,
21125,0.164,"9,970",16.4,9.764780475,0.862463974,0.528735632,,,,
21127,0.185,"2,890",18.5,46.82846271,0.633650585,0.609195402,,,,
21129,0.218,"1,550",21.8,61.70602543,0.486229069,0.735632184,,,,
21131,0.229,"2,310",22.9,65.56156324,0.541097466,0.777777778,,,,
21133,0.226,"4,950",22.6,26.33219948,0.968749662,0.766283525,,,,
21135,0.196,"2,610",19.6,32.47934831,0.609266812,0.651340996,,,,
21137,0.154,"3,780",15.4,37.95420978,0.553915505,0.490421456,,,,
21139,0.14,"1,290",14,37.05682454,0.226842901,0.436781609,,,,
21141,0.132,"3,580",13.2,36.82317352,0.454172043,0.406130268,,,,
21143,0.136,"1,120",13.6,44.92530212,0.607005543,0.421455939,,,,
21145,0.129,"8,450",12.9,51.19350599,0.358550428,0.394636015,,,,
21147,0.202,"3,500",20.2,49.49244743,0.475651068,0.674329502,,,,
21149,0.125,"1,150",12.5,76.29671601,0.676971192,0.379310345,,,,
21151,0.135,"12,420",13.5,107.4260306,0.715663764,0.417624521,,,,
21153,0.251,"3,100",25.1,60.55956412,0.628198954,0.862068966,,,,
21155,0.162,"3,120",16.2,21.8662559,0.485515894,0.521072797,,,,
21157,0.11,"3,430",11,27.86358821,0.767515123,0.32183908,,,,
21159,0.188,"2,150",18.8,118.3885452,0.976900859,0.620689655,,,,
21161,0.147,"2,510",14.7,94.39453233,0.630809825,0.463601533,,,,
21163,0.123,"3,480",12.3,23.91934204,0.757149559,0.37164751,,,,
21165,0.175,"1,130",17.5,192.6226902,0.745036745,0.570881226,,,,
21167,0.128,"2,770",12.8,64.65262143,0.42136449,0.390804598,,,,
21169,0.168,"1,690",16.8,31.60479697,0.345741226,0.544061303,,,,
21171,0.168,"1,780",16.8,166.3659774,0.781091955,0.544061303,,,,
21173,0.158,"4,440",15.8,91.48442838,0.769939803,0.505747126,,,,
21175,0.168,"2,230",16.8,149.0464968,0.362166239,0.544061303,,,,
21177,0.149,"4,580",14.9,185.0211469,0.663741949,0.471264368,,,,
