Center Name,Address,Latitude,Longitude
Fresh Point,"740 Massman Drive, Nashville, TN 37210",36.1468063,-86.7122927
Fresh Point,"1718 Elm Hill Pike, Nashville, TN 37210",36.148149,-86.7095087
Fresh Point,"1200 Oakley Industrial Blvd., Suite B, Fairburn, GA 30213",33.5410527,-84.5847724
Fresh Point,"8801 Exchange Drive, Orlando, FL 32809",28.4386047,-81.4101584
Fresh Point,"2300 NW 19th Street, Pompano Beach, FL 33069",26.2531725,-80.1569878
Fresh Point,"5445 Bonacker Drive, Tampa, FL 33610",28.0003249,-82.3908897
Fresh Point,"2121-A Distribution Center Drive, Charlotte, NC 28269",35.27804,-80.8423399
Fresh Point,"203 Trans Air Drive, Morrisville, NC 27560",35.851171,-78.8192543
