FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
13235,0.144,"1,610",14.4,108.5275441,0.184203184
13237,0.139,"3,040",13.9,193.77091,0.235896466
13239,0.121,280,12.1,122.1156528,0.301455391
13241,0.155,"2,620",15.5,111.0825474,0.270363048
13243,0.167,"1,150",16.7,45.88758296,0.028214443
13245,0.157,"31,740",15.7,91.20081047,0.131934826
13247,0.093,"8,360",9.3,121.6649168,0.186545644
13249,0.111,580,11.1,72.14067616,0.271648722
13251,0.146,"2,040",14.6,95.4821972,0.243693544
13253,0.17,"1,400",17,135.6110803,0.148250009
13255,0.138,"9,140",13.8,143.3236213,0.19036824
13257,0.136,"3,520",13.6,125.8893724,0.158928194
13259,0.155,"1,000",15.5,97.44854022,0.260978742
13261,0.146,"4,350",14.6,153.6590865,0.108938244
13263,0.117,730,11.7,195.3956777,0.209929578
13265,0.149,240,14.9,126.4097939,0.294668224
13267,0.139,"3,520",13.9,151.5929317,0.17802054
13269,0.191,"1,550",19.1,149.1785001,0.351336061
13271,0.173,"2,750",17.3,84.66132295,0.291968751
13273,0.178,"1,540",17.8,69.58743415,0.185701925
13275,0.135,"6,010",13.5,156.3653389,0.233640758
13277,0.138,"5,610",13.8,154.1423948,0.375134329
13279,0.151,"4,070",15.1,72.86141111,0.301389818
13281,0.124,"1,470",12.4,132.9741122,0.319739186
13283,0.197,"1,340",19.7,177.2278903,0.171871611
13285,0.146,"10,200",14.6,88.43099249,0.327991429
13287,0.179,"1,420",17.9,169.0856128,0.059320683
13289,0.118,960,11.8,193.3426111,0.321369922
13291,0.131,"3,140",13.1,115.2538423,0.200004321
13293,0.148,"3,910",14.8,110.492809,0.110161987
13295,0.136,"9,430",13.6,130.8539703,0.119169963
13297,0.104,"9,700",10.4,142.6439425,0.267413939
13299,0.149,"5,330",14.9,97.66123885,0.175672127
13301,0.149,780,14.9,189.8553424,0.227981607
13303,0.14,"2,840",14,111.6093036,0.309600091
13305,0.131,"3,920",13.1,170.5698097,0.193680097
13307,0.144,370,14.4,103.0494155,0.339598753
13309,0.164,"1,290",16.4,177.2045822,0.24063401
13311,0.117,"3,500",11.7,164.7963651,0.121379721
13313,0.123,"12,790",12.3,39.30563614,0.287896822
13315,0.142,"1,240",14.2,150.2283347,0.200760869
13317,0.151,"1,480",15.1,114.4206368,0.111770932
13319,0.141,"1,260",14.1,48.90858464,0.304606707
13321,0.135,"2,750",13.5,73.15942166,19.26029072
15001,0.145,"29,120",14.5,184.9502969,19.63639105
15003,0.122,"119,100",12.2,119.2065419,19.39514343
15005,0.134,60,13.4,58.59715422,19.99584951
15007,0.142,"10,250",14.2,139.728278,19.34002656
15009,0.156,"25,980",15.6,85.03810509,6.371864713
16001,0.078,"36,850",7.8,103.5676946,6.57248559
16003,0.137,580,13.7,68.76455092,5.320052204
16005,0.106,"9,170",10.6,138.8160949,5.060498667
16007,0.097,590,9.7,162.3592853,6.924730113
16009,0.126,"1,160",12.6,67.75168196,5.424966552
16011,0.084,"3,900",8.4,48.15613741,5.824053562
16013,0.096,"2,180",9.6,20.78208146,6.30305595
16015,0.112,860,11.2,39.53789858,7.080401672
16017,0.115,"5,160",11.5,29.84580658,5.262504025
16019,0.081,"9,450",8.1,68.11270907,7.129999366
16021,0.134,"1,630",13.4,41.16933812,5.669003474
16023,0.124,320,12.4,20.4626543,6.026905743
16025,0.109,120,10.9,13.70821844,6.501421165
16027,0.093,"20,840",9.3,89.80805842,5.172706039
16029,0.07,490,7,29.1910191,5.617224248
16031,0.081,"1,940",8.1,106.0149408,5.553863335
16033,0.068,60,6.8,44.9642615,6.629621946
16035,0.128,"1,120",12.8,52.62420986,5.991537553
16037,0.136,570,13.6,49.45717534,6.175746455
16039,0.114,"3,080",11.4,24.70221833,5.167159738
16041,0.072,990,7.2,4.840683454,5.3495111
16043,0.09,"1,180",9,50.40691299,6.469180879
16045,0.121,"2,160",12.1,25.74123457,5.979043338
16047,0.098,"1,500",9.8,37.52839753,6.469562876
16049,0.12,"1,970",12,34.58933937,5.481229437
16051,0.06,"1,760",6,23.58173525,5.818430279
16053,0.094,"2,260",9.4,56.36425418,7.002189632
16055,0.102,"16,420",10.2,22.47930718,6.878125771
16057,0.105,"4,200",10.5,32.42233756,6.003038174
16059,0.118,940,11.8,15.31086847,6.735454275
16061,0.147,570,14.7,72.52239011,5.818473203
16063,0.092,490,9.2,62.29487243,5.326109881
16065,0.108,"4,280",10.8,30.38698586,5.681882185
16067,0.095,"1,970",9.5,32.94807647,6.818972736
16069,0.105,"4,240",10.5,35.71284698,5.346845844
16071,0.096,420,9.6,20.24128959,6.279488287
16073,0.107,"1,260",10.7,48.82564037,6.550302264
16075,0.1,"2,370",10,26.06455334,5.471863216
16077,0.086,650,8.6,49.19053087,6.782788282
16079,0.157,"1,990",15.7,17.79410998,5.219374295
16081,0.062,730,6.2,5.961193242,5.887927714
16083,0.099,"8,510",9.9,49.46790756,6.352753679
16085,0.093,"1,030",9.3,35.75990323,6.601581848
16087,0.105,"1,070",10.5,6.926828868,1.454577411
17001,0.106,"6,950",10.6,32.88073112,0.600582816
17003,0.173,"1,040",17.3,18.52738383,1.116325003
17005,0.108,"1,790",10.8,59.87359803,2.188022664
17007,0.091,"4,870",9.1,39.60188366,1.438236728
17009,0.08,530,8,10.37253636,1.945978868
17011,0.104,"3,420",10.4,32.02525851,1.16313705
17013,0.097,470,9.7,34.81205094,2.176563718
17015,0.102,"1,470",10.2,20.55501445,1.446252584
17017,0.103,"1,270",10.3,53.42168281,1.415297909
17019,0.105,"22,010",10.5,40.14326351,1.340992572
17021,0.106,"3,480",10.6,57.71061826,1.116917732
17023,0.1,"1,560",10,34.64637439,0.99765849
17025,0.144,"1,900",14.4,40.68297176,1.025262509
17027,0.081,"3,040",8.1,54.9928652,1.21250916
17029,0.142,"7,250",14.2,55.04858847,1.971326186
17031,0.109,"566,030",10.9,28.66953475,1.004347152
17033,0.104,"1,970",10.4,86.80612539,1.133835141
17035,0.093,"1,000",9.3,44.65212557,2.040776909
17037,0.111,"11,580",11.1,62.96569461,1.489615073
17039,0.09,"1,410",9,32.25978408,1.293925808
17041,0.087,"1,690",8.7,14.73742821,1.986667459
17043,0.067,"62,280",6.7,40.01374015,1.230507383
17045,0.107,"1,850",10.7,35.17814248,0.839968744
17047,0.113,730,11.3,47.80346478,1.103837853
17049,0.097,"3,320",9.7,190.3571706,1.144538482
17051,0.123,"2,640",12.3,158.4433735,1.569695207
17053,0.106,"1,390",10.6,181.0649035,0.852755915
17055,0.161,"6,240",16.1,160.5375831,1.619440278
17057,0.118,"4,080",11.8,152.3765869,0.6689002
17059,0.163,810,16.3,180.4052075,1.23012311
17061,0.106,"1,380",10.6,193.5771122,1.81365801
17063,0.082,"4,170",8.2,142.166813,0.80792935
17065,0.12,980,12,129.8788264,1.597358419
17067,0.108,"1,920",10.8,172.9521532,0.609670065
17069,0.142,550,14.2,148.9254018,1.736412288
17071,0.092,620,9.2,142.6959979,1.925351644
17073,0.099,"4,840",9.9,66.45845351,1.597837515
17075,0.101,"2,760",10.1,76.14078211,0.768039734
17077,0.142,"8,160",14.2,50.86520686,1.040271912
17079,0.105,"1,000",10.5,65.85113926,0.932425587
17081,0.135,"5,080",13.5,43.75216306,1.13703985
17083,0.087,"1,900",8.7,102.4322497,2.274194551
17085,0.101,"2,170",10.1,83.15606106,0.721916681
17087,0.109,"1,350",10.9,81.93193222,2.034272092
17089,0.073,"38,650",7.3,94.95860966,1.732693999
17091,0.108,"11,870",10.8,91.65517748,1.916904737
17093,0.051,"6,520",5.1,47.20345747,1.778025043
17095,0.13,"6,490",13,89.62587952,2.144151672
17097,0.071,"49,570",7.1,112.6063484,1.867436215
17099,0.117,"12,730",11.7,68.67629002,0.907553797
17101,0.123,"1,940",12.3,32.43040968,2.034357762
17103,0.109,"3,740",10.9,58.70958166,1.692019585
17105,0.108,"3,860",10.8,12.46419865,1.527384248
17107,0.098,"2,820",9.8,77.3397214,1.609559176
17109,0.118,"3,550",11.8,69.5047551,2.166004014
17111,0.072,"22,050",7.2,34.58411554,1.585454205
17113,0.092,"15,910",9.2,52.07554782,1.396775704
17115,0.125,"13,070",12.5,88.19595388,1.21153337
17117,0.111,"5,010",11.1,52.91200686,1.065481507
17119,0.104,"27,540",10.4,56.69447487,1.027936987
17121,0.137,"5,130",13.7,14.57179965,1.808973496
17123,0.101,"1,160",10.1,58.21287663,1.547078378
17125,0.129,"1,750",12.9,61.37388638,0.635174409
17127,0.143,"2,010",14.3,56.00716181,1.478769244
17129,0.085,"1,050",8.5,102.5991736,1.869242832
17131,0.098,"1,530",9.8,28.29548871,0.864285906
17133,0.052,"1,790",5.2,65.55695571,1.227306694
17135,0.126,"3,620",12.6,62.34947817,1.358203427
17137,0.114,"3,870",11.4,54.04007129,1.289972251
17139,0.081,"1,190",8.1,75.57280701,2.132862574
17141,0.099,"5,030",9.9,96.11807417,1.741145696
17143,0.125,"22,590",12.5,53.23154832,0.863115833
17145,0.143,"3,010",14.3,84.79283281,1.405661572
17147,0.068,"1,110",6.8,89.78781407,1.321995794
17149,0.111,"1,730",11.1,51.08851224,0.642885362
17151,0.161,670,16.1,50.69889477,0.645761814
17153,0.151,820,15.1,87.13375999,1.85773018
17155,0.097,560,9.7,87.633542,0.808611704
17157,0.108,"3,440",10.8,54.23451365,0.93747957
17159,0.116,"1,820",11.6,92.52339908,1.960050885
17161,0.116,"16,590",11.6,25.92097422,0.942082989
17163,0.11,"28,830",11,76.08096424,0.720702264
17165,0.156,"3,710",15.6,30.13949602,1.39389069
17167,0.112,"21,900",11.2,98.75863124,1.506060763
17169,0.132,910,13.2,89.96985222,1.32866091
17171,0.1,500,10,70.57165471,1.232715122
17173,0.094,"2,030",9.4,63.27769178,1.844643385
17175,0.107,580,10.7,103.1255304,2.263681325
17177,0.116,"5,170",11.6,109.6383314,1.65619699
17179,0.092,"12,240",9.2,46.9931992,0.692541373
17181,0.132,"2,220",13.2,66.95061192,1.401346268
17183,0.129,"9,930",12.9,63.94394715,0.82759878
17185,0.119,"1,350",11.9,62.39051015,1.745498217
17187,0.094,"1,590",9.4,75.21050115,0.944030188
17189,0.077,"1,070",7.7,84.13886349,0.891107402
17191,0.122,"1,990",12.2,58.82536476,0.754901932
17193,0.128,"1,750",12.8,14.57494442,2.069420936
17195,0.098,"5,460",9.8,39.21174274,1.842917342
17197,0.068,"47,130",6.8,54.65200995,0.791405886
17199,0.128,"8,550",12.8,30.31907943,2.216614208
17201,0.132,"37,300",13.2,44.2684629,1.71708885
17203,0.069,"2,650",6.9,58.54349742,1.651289125
18001,0.12,"4,260",12,93.78189314,1.755716429
18003,0.12,"44,920",12,76.97482695,1.067466083
18005,0.121,"10,110",12.1,27.19859177,1.530814551
18007,0.127,"1,100",12.7,59.82295123,1.531303908
18009,0.162,"1,930",16.2,93.2848794,1.334897607
18011,0.075,"5,010",7.5,37.78273579,1.047195387
18013,0.104,"1,570",10.4,64.06605091,1.517621326
18015,0.104,"2,080",10.4,73.60696194,1.582901623
18017,0.123,"4,620",12.3,38.69117365,0.841267969
18019,0.112,"13,150",11.2,81.69215723,1.107260934
18021,0.126,"3,320",12.6,79.72712634,1.421595279
18023,0.111,"3,560",11.1,105.043056,0.728284279
18025,0.154,"1,630",15.4,49.71292962,0.867720088
18027,0.11,"3,660",11,87.32751545,1.133387147
18029,0.105,"5,220",10.5,71.07030483,1.130813537
18031,0.12,"3,200",12,36.1430494,1.862846138
18033,0.113,"4,890",11.3,37.17286532,1.444044968
18035,0.151,"17,320",15.1,89.27573461,0.74755626
18037,0.092,"3,900",9.2,141.0854274,1.884963851
18039,0.113,"23,190",11.3,150.1932539,1.268514021
18041,0.17,"3,920",17,110.4317224,0.77118652
18043,0.106,"8,290",10.6,64.46714396,1.36168485
18045,0.131,"2,160",13.1,145.0952636,1.208038673
18047,0.097,"2,200",9.7,121.5647163,1.683325899
18049,0.129,"2,600",12.9,80.49770744,0.760744832
18051,0.111,"3,730",11.1,168.0406687,1.524722189
18053,0.149,"9,870",14.9,104.6300529,0.981226093
18055,0.133,"4,280",13.3,72.77303116,1.354431581
18057,0.068,"22,370",6.8,187.0930512,1.283391319
18059,0.088,"6,730",8.8,194.6331492,0.713817851
18061,0.11,"4,420",11,154.4465422,1.236869485
18063,0.074,"12,290",7.4,84.76663455,1.345349479
18065,0.135,"6,510",13.5,117.3485421,1.493226294
18067,0.144,"11,850",14.4,133.3401147,1.64017549
18069,0.119,"4,310",11.9,102.1798891,0.957846933
18071,0.133,"5,870",13.3,44.9137241,1.671092588
18073,0.11,"3,690",11,181.679394,1.544299518
18075,0.134,"2,770",13.4,188.2515495,0.96767102
18077,0.143,"4,590",14.3,83.29582016,1.018259108
18079,0.126,"3,480",12.6,150.4066033,1.153036403
18081,0.094,"14,630",9.4,126.5326655,0.876825027
18083,0.144,"5,310",14.4,96.16265327,1.763668659
18085,0.105,"8,270",10.5,121.2201934,1.919164625
18087,0.087,"3,450",8.7,192.9057857,1.812311137
18089,0.131,"63,560",13.1,68.86065905,1.85016939
18091,0.139,"15,240",13.9,169.8723188,0.91640883
18093,0.123,"5,600",12.3,174.9839502,1.400958007
18095,0.145,"18,820",14.5,130.08517,1.251368828
18097,0.134,"128,270",13.4,197.2059124,1.779289119
18099,0.116,"5,400",11.6,62.97135262,0.866322028
18101,0.117,"1,190",11.7,30.85414309,1.593940408
18103,0.143,"5,100",14.3,116.9073599,1.026057953
18105,0.133,"19,540",13.3,177.4996053,1.328481303
18107,0.115,"4,390",11.5,165.9453303,1.138505014
18109,0.099,"6,950",9.9,103.5126181,1.65358906
18111,0.124,"1,730",12.4,186.4618099,1.836861756
18113,0.11,"5,230",11,166.3376778,1.074479122
18115,0.118,690,11.8,77.9020643,0.812688636
18117,0.163,"3,190",16.3,48.7238496,1.07599995
18119,0.135,"2,820",13.5,74.10779496,1.240843239
18121,0.126,"2,130",12.6,195.3316211,0.649969552
18123,0.123,"2,360",12.3,97.39974866,0.768551607
18125,0.109,"1,350",10.9,55.83636107,1.822046477
18127,0.107,"18,070",10.7,139.1876609,0.694833466
18129,0.097,"2,460",9.7,178.9599212,1.675503433
18131,0.12,"1,490",12,156.6141387,1.198626588
18133,0.106,"3,960",10.6,104.0347827,1.452175615
18135,0.125,"3,090",12.5,152.6782303,1.087513965
18137,0.117,"3,320",11.7,109.151633,1.236889645
18139,0.132,"2,200",13.2,59.86711832,1.879552835
18141,0.132,"35,660",13.2,126.7142444,0.905692964
18143,0.167,"3,960",16.7,146.6156411,1.181110134
18145,0.12,"5,350",12,138.9928504,0.62862699
18147,0.101,"2,060",10.1,196.3223218,1.758636935
18149,0.144,"3,300",14.4,105.120721,1.944971647
18151,0.108,"3,750",10.8,102.408438,1.012778903
18153,0.131,"2,700",13.1,82.55768137,1.02758954
18155,0.174,"1,870",17.4,51.47173296,1.44921289
18157,0.125,"24,180",12.5,66.71111094,1.436326561
18159,0.107,"1,620",10.7,127.5543937,1.289548602
18161,0.099,710,9.9,113.0809592,0.666472827
18163,0.14,"25,330",14,149.6425982,1.276757092
18165,0.145,"2,240",14.5,91.02066564,1.12867085
18167,0.153,"16,390",15.3,100.2177975,1.63002287
18169,0.118,"3,670",11.8,116.346563,1.442534405
18171,0.111,910,11.1,196.9802256,0.666057225
18173,0.084,"5,250",8.4,45.20355052,0.850161687
18175,0.133,"3,730",13.3,50.81873725,1.357327698
18177,0.146,"9,690",14.6,59.35592257,1.623954746
18179,0.099,"2,790",9.9,45.48067442,1.574242368
18181,0.104,"2,510",10.4,76.52237265,1.744283319
18183,0.104,"3,530",10.4,47.23338728,1.769686158
19001,0.089,630,8.9,64.78870887,1.66997291
19003,0.087,320,8.7,45.07332812,2.550054887
19005,0.076,"1,040",7.6,33.81502119,1.599449425
19007,0.132,"1,640",13.2,75.68961891,1.901630312
19009,0.08,440,8,2.970826418,2.100143515
19011,0.069,"1,770",6.9,46.08492172,2.215352935
19013,0.098,"12,900",9.8,19.21468685,2.012369396
19015,0.064,"1,700",6.4,59.31639391,2.317742958
19017,0.053,"1,340",5.3,8.16270538,2.246536043
19019,0.065,"1,380",6.5,102.6670701,2.270920583
19021,0.065,"1,290",6.5,54.25644283,2.28031669
19023,0.081,"1,170",8.1,36.13717652,2.137238383
19025,0.076,730,7.6,33.37840448,2.02152928
19027,0.064,"1,280",6.4,44.1759584,1.780900475
19029,0.082,"1,070",8.2,23.75930596,2.069714508
19031,0.06,"1,120",6,51.13179614,2.384927211
19033,0.083,"3,560",8.3,40.95697343,2.289697927
19035,0.079,900,7.9,54.74059605,2.414458368
19037,0.07,840,7,93.38838479,1.664835836
19039,0.109,"1,020",10.9,1.682803492,2.390276834
19041,0.088,"1,420",8.8,14.70701312,2.408275723
19043,0.099,"1,730",9.9,42.27582709,2.109416487
19045,0.104,"4,840",10.4,17.98939803,2.040482766
19047,0.103,"1,750",10.3,20.50305428,1.889948811
19049,0.045,"4,060",4.5,52.70309433,1.631688045
19051,0.068,610,6.8,21.86615852,1.564003807
19053,0.102,810,10.2,60.73404813,2.283930638
19055,0.063,"1,070",6.3,5.896523231,1.77704556
19057,0.115,"4,520",11.5,30.36973384,2.491936776
19059,0.073,"1,260",7.3,19.62564585,2.307802846
19061,0.079,"7,700",7.9,29.94834605,2.481217021
19063,0.081,760,8.1,30.41666049,2.376572282
19065,0.093,"1,830",9.3,36.93507184,2.392701282
19067,0.1,"1,570",10,58.92841324,2.264526208
19069,0.082,820,8.2,23.6684097,1.615428725
19071,0.063,430,6.3,65.97239014,2.013021077
19073,0.086,770,8.6,22.68239666,2.167544017
19075,0.051,630,5.1,27.26148698,1.892311146
19077,0.071,760,7.1,16.65484829,2.134968892
19079,0.065,960,6.5,43.48390661,2.376234404
19081,0.082,870,8.2,21.65209364,2.144972808
19083,0.077,"1,310",7.7,51.82948609,1.944007994
19085,0.073,"1,030",7.3,39.31749543,1.788704886
19087,0.086,"1,710",8.6,41.36615329,2.515162754
19089,0.068,620,6.8,24.23384875,2.268361102
19091,0.093,890,9.3,84.85464356,2.165801627
19093,0.079,550,7.9,34.91741258,1.969207338
19095,0.065,"1,050",6.5,68.29078864,2.204148898
19097,0.085,"1,650",8.5,27.61310854,1.91167618
19099,0.08,"2,960",8,26.26047413,1.763460869
19101,0.099,"1,790",9.9,53.57495031,2.004169165
19103,0.076,"11,510",7.6,22.63826084,2.190378441
19105,0.078,"1,610",7.8,58.1921189,1.844560256
19107,0.096,970,9.6,0.671277268,2.416613064
19109,0.086,"1,290",8.6,35.48269735,1.687098292
19111,0.099,"3,340",9.9,52.69068613,2.136043912
19113,0.075,"16,980",7.5,39.99693046,1.880877185
19115,0.068,760,6.8,40.46230974,1.676239171
19117,0.101,870,10.1,78.51026984,2.539558401
19119,0.039,460,3.9,66.91086194,1.767303736
19121,0.061,990,6.1,83.73227424,1.81276631
19123,0.093,"2,090",9.3,32.47567949,1.789451686
19125,0.073,"2,410",7.3,82.82861358,2.033672145
19127,0.085,"3,390",8.5,4.544059779,1.713121964
19129,0.065,970,6.5,64.60670618,2.494272124
19131,0.059,620,5.9,13.59184009,2.077073542
19133,0.098,850,9.8,46.16297577,1.696546554
19135,0.093,720,9.3,73.47885142,1.686545368
19137,0.09,910,9,27.6409487,1.969602407
19139,0.072,"3,100",7.2,32.81720952,2.408482674
19141,0.077,"1,060",7.7,50.52675109,2.509220914
19143,0.073,440,7.3,31.04404031,1.586969502
19145,0.092,"1,390",9.2,33.92484523,2.378858678
19147,0.069,610,6.9,32.91165102,2.323261927
19149,0.06,"1,500",6,34.68969513,2.258600929
19151,0.078,520,7.8,27.57041622,1.895643364
19153,0.08,"38,870",8,37.99815374,1.810543492
19155,0.086,"8,010",8.6,33.56154433,1.93785992
19157,0.084,"1,540",8.4,24.12466017,1.560999725
19159,0.079,390,7.9,36.4298489,2.149372775
19161,0.067,650,6.7,34.33347948,2.018707712
19163,0.087,"15,060",8.7,30.95333844,1.917036566
19165,0.068,790,6.8,31.13455156,2.437166915
19167,0.038,"1,320",3.8,24.55134306,2.019173126
19169,0.073,"7,140",7.3,43.58702594,2.070744637
19171,0.082,"1,400",8.2,1.66800355,1.569329297
19173,0.061,380,6.1,53.43736022,1.662389586
19175,0.098,"1,210",9.8,37.03841457,1.672917306
19177,0.094,670,9.4,63.68628846,1.725758451
19179,0.111,"3,880",11.1,46.56902219,1.774607858
19181,0.057,"2,910",5.7,54.16825748,1.88321182
19183,0.07,"1,540",7,42.13506759,1.576670825
19185,0.096,620,9.6,26.41571806,2.147496202
19187,0.101,"3,690",10.1,24.62650929,2.478653193
19189,0.076,800,7.6,38.37040178,2.519860498
19191,0.071,"1,430",7.1,113.1411971,2.195721813
19193,0.083,"8,500",8.3,134.4816996,2.486947537
19195,0.067,500,6.7,178.9946058,2.255466995
19197,0.085,"1,070",8.5,51.55563678,0.659672762
20001,0.133,"1,660",13.3,97.55677656,0.759434762
20003,0.117,920,11.7,164.3347906,1.189405674
20005,0.122,"1,970",12.2,118.1447076,1.313066781
20007,0.136,610,13.6,71.23405099,1.495360608
20009,0.115,"3,020",11.5,116.6285461,0.59758234
20011,0.128,"1,860",12.8,40.37007202,1.30676799
20013,0.124,"1,190",12.4,169.2295014,0.924047761
20015,0.105,"7,050",10.5,196.935585,0.990036296
20017,0.093,240,9.3,40.04379607,0.67028861
20019,0.16,530,16,105.3026856,0.382364019
20021,0.134,"2,690",13.4,145.2068325,2.414725919
20023,0.096,250,9.6,173.1270514,1.619623755
20025,0.101,200,10.1,56.55504241,1.364817589
20027,0.102,820,10.2,33.77470552,1.483089524
20029,0.104,920,10.4,140.9245631,0.825318176
20031,0.115,950,11.5,174.7265324,1.468085638
20033,0.106,190,10.6,186.8113705,0.830652831
20035,0.127,"4,470",12.7,172.2972378,0.486257573
20037,0.143,"5,560",14.3,64.04517521,2.12343093
20039,0.133,380,13.3,70.46394697,1.235930999
20041,0.106,"1,970",10.6,161.1820777,1.263974351
20043,0.115,880,11.5,62.42976074,0.974183027
20045,0.115,"13,900",11.5,161.1730985,1.545498638
20047,0.081,230,8.1,57.6268523,0.72499133
20049,0.135,340,13.5,173.6706555,1.70310303
20051,0.098,"2,820",9.8,92.41028549,1.411164608
20053,0.088,540,8.8,107.7099684,1.932073779
20055,0.08,"2,920",8,168.995772,1.674513558
20057,0.074,"2,480",7.4,89.72680627,0.869860547
20059,0.111,"2,860",11.1,130.0035777,1.201678111
20061,0.133,"4,430",13.3,57.2902261,1.978968978
20063,0.097,260,9.7,144.1227261,1.912178535
20065,0.106,260,10.6,152.5194221,2.043509185
20067,0.076,560,7.6,80.27828715,1.824200965
20069,0.047,290,4.7,134.816267,2.254916982
20071,0.096,110,9.6,143.0048034,0.816330516
20073,0.123,740,12.3,83.25272525,2.205456513
20075,0.063,160,6.3,83.59518867,1.147303939
20077,0.125,690,12.5,124.5149505,1.108204419
20079,0.103,"3,550",10.3,22.18877139,1.925792535
20081,0.067,270,6.7,101.4752526,1.719771435
20083,0.09,170,9,75.79365539,1.195131707
20085,0.11,"1,460",11,105.0802112,1.097062137
20087,0.082,"1,560",8.2,56.0383233,1.663619926
20089,0.119,340,11.9,25.34758998,0.939071642
20091,0.072,"42,860",7.2,51.63368726,2.080882569
20093,0.105,410,10.5,56.35120815,1.203714681
20095,0.092,660,9.2,51.81796575,1.502788993
20097,0.09,220,9,38.22098012,0.466281621
20099,0.138,"2,750",13.8,28.70145529,1.913176559
20101,0.105,160,10.5,24.45208219,1.058876574
20103,0.093,"7,540",9.3,23.24392932,1.486013934
20105,0.099,300,9.9,1.352487669,0.7147752
20107,0.136,"1,320",13.6,46.04676796,2.142082191
20109,0.105,290,10.5,41.90809764,0.95273889
20111,0.104,"3,450",10.4,56.54090829,1.226805256
20113,0.089,"2,550",8.9,48.91862164,1.103035413
20115,0.093,"1,100",9.3,40.34369566,1.394909523
20117,0.085,830,8.5,64.29901976,1.768104954
20119,0.075,310,7.5,53.81880626,0.831939265
20121,0.087,"2,940",8.7,29.89549383,1.566205592
20123,0.108,650,10.8,22.92102112,0.560081182
20125,0.15,"4,820",15,30.79943054,1.09929404
20127,0.101,560,10.1,73.88127795,2.157723074
20129,0.12,320,12,55.02466142,1.335178414
20131,0.088,890,8.8,47.75788066,0.56519834
20133,0.139,"2,220",13.9,48.81216752,1.775646625
20135,0.092,260,9.2,49.42541674,2.001660169
20137,0.085,460,8.5,77.75777257,0.948327213
20139,0.117,"1,850",11.7,25.60898787,1.669365877
20141,0.11,380,11,34.56707163,1.395520002
20143,0.096,560,9.6,38.89374769,1.564880006
20145,0.113,740,11.3,68.27133292,1.88440435
20147,0.114,600,11.4,44.30121163,1.249079697
20149,0.08,"1,950",8,16.73574795,1.369551966
20151,0.093,860,9.3,34.21624233,2.26267428
20153,0.102,250,10.2,72.3617559,1.24753357
20155,0.113,"7,040",11.3,55.68085669,1.575312126
20157,0.089,410,8.9,41.5632822,1.342404249
20159,0.11,"1,050",11,55.30856734,1.281096839
20161,0.127,"9,380",12.7,37.79119382,1.788281524
20163,0.09,450,9,49.31465977,1.634037587
20165,0.098,290,9.8,6.399552371,1.57769579
20167,0.11,760,11,42.3638842,1.31283482
20169,0.113,"6,170",11.3,53.00025346,2.024642219
20171,0.076,370,7.6,34.97534954,1.052727347
20173,0.129,"66,610",12.9,58.22108482,1.898009934
20175,0.08,"1,760",8,55.44852256,1.072346939
20177,0.105,"18,610",10.5,26.70037081,2.040112116
20179,0.07,180,7,26.6473073,2.344129615
20181,0.082,480,8.2,50.9220385,1.771516561
20183,0.095,340,9.5,71.68149134,1.414432004
20185,0.096,400,9.6,37.12079676,2.172264189
20187,0.1,200,10,6.934280227,2.024185397
20189,0.096,530,9.6,24.32896486,0.994433067
20191,0.132,"3,030",13.2,44.57816137,2.184422578
20193,0.081,630,8.1,49.04196707,1.832688892
20195,0.082,230,8.2,93.79892299,1.103335437
20197,0.084,580,8.4,53.58614218,2.295238452
20199,0.115,180,11.5,16.84694406,1.473842557
20201,0.088,480,8.8,77.66816444,2.136977348
20203,0.079,170,7.9,52.8050249,0.643315561
20205,0.14,"1,210",14,73.73964169,0.727826883
20207,0.131,410,13.1,42.42772571,1.014499148
20209,0.129,"21,330",12.9,53.95864608,0.521579578
21001,0.152,"2,950",15.2,68.67641641,0.251387014
21003,0.137,"2,880",13.7,57.61791086,0.796475481
21005,0.131,"2,960",13.1,2.122299034,0.62953125
21007,0.134,"1,060",13.4,84.27900877,0.354320837
21009,0.178,"7,860",17.8,55.77059005,0.82261579
21011,0.186,"2,310",18.6,31.55335404,0.341393703
21013,0.219,"5,790",21.9,71.26787929,1.112214714
21015,0.079,"10,440",7.9,29.92582632,0.843328107
21017,0.126,"2,510",12.6,67.26151424,0.962424316
21019,0.16,"7,590",16,41.27652272,0.683423969
21021,0.134,"4,040",13.4,85.79241187,1.008576867
21023,0.144,"1,200",14.4,41.35149553,0.631590708
21025,0.245,"3,140",24.5,44.11933373,0.551575642
21027,0.147,"2,980",14.7,45.71574627,0.681262155
21029,0.104,"8,410",10.4,33.82438533,0.347455127
21031,0.148,"1,890",14.8,51.06203945,0.440267818
21033,0.155,"1,970",15.5,10.33172083,0.434091562
21035,0.143,"5,580",14.3,67.55863018,1.102717093
21037,0.107,"10,010",10.7,53.03005889,0.589685375
21039,0.123,580,12.3,95.73156085,0.968175831
21041,0.161,"1,730",16.1,64.71864522,0.917528506
21043,0.184,"4,970",18.4,51.34434968,0.594135937
21045,0.173,"2,760",17.3,95.59946735,0.305801574
21047,0.154,"11,010",15.4,84.4515799,0.760466262
21049,0.139,"5,040",13.9,46.76162767,0.484433933
21051,0.235,"4,720",23.5,51.81128789,0.457137698
21053,0.159,"1,620",15.9,55.85807335,0.53579378
