Center Name,Address,Latitude,Longitude
Fresh Point,"2121-A Distribution Center Drive, Charlotte, NC 28269",35.27804,-80.8423399
Fresh Point,"203 Trans Air Drive, Morrisville, NC 27560",35.851171,-78.8192543
